name,gender,salary,departments,position
범은별,male,14638,advertising,assistant
동준형,male,17270,marketing,assistant
변지원,female,27249,marketing,header
편하람,male,6667,marketing,assistant
노소희,female,13894,finance,assistant
구민아,female,3621,marketing,assistant
예은서,male,7662,IT,intern
반시후,female,26143,marketing,manager
홍재준,male,8965,finance,intern
범라온,male,18297,marketing,manager
염하람,female,17349,advertising,intern
노서후,female,4035,marketing,header
목은성,male,20920,advertising,header
금윤건,female,13525,finance,manager
태단비,female,29497,marketing,manager
지주은,male,21787,marketing,manager
한다영,female,29712,design,header
송예성,male,15396,advertising,assistant
라승우,male,17317,marketing,assistant
견소현,male,14144,marketing,assistant
고지호,female,15459,advertising,manager
온윤후,male,11362,marketing,manager
당민수,female,5269,marketing,intern
마도겸,male,23478,marketing,assistant
함윤주,male,11702,design,assistant
표나경,male,6204,marketing,assistant
성제인,male,18441,IT,assistant
황이든,female,17739,finance,assistant
최고은,female,4858,IT,manager
표서현,female,17094,marketing,assistant
문태우,male,4733,design,assistant
공지온,female,29629,marketing,manager
허다원,male,13919,design,assistant
양준우,male,21407,marketing,manager
송유성,male,8384,IT,intern
상우영,male,3603,advertising,header
위지호,male,28906,finance,assistant
정현우,male,28657,marketing,assistant
단은준,male,24556,marketing,header
지지성,female,26871,IT,manager
성준영,male,15461,advertising,assistant
채재율,male,16745,marketing,intern
은지완,male,15856,marketing,assistant
임수빈,male,4582,IT,assistant
형태우,male,12963,marketing,assistant
범강우,female,7889,advertising,intern
반지호,male,10727,marketing,assistant
온준영,female,20290,marketing,assistant
민한율,male,23409,marketing,manager
최다온,female,25738,design,manager
육윤슬,male,23880,advertising,assistant
전영우,female,27031,design,header
유현아,female,20828,IT,manager
노시훈,female,22980,advertising,intern
음대현,female,13778,marketing,manager
동하진,male,7098,marketing,assistant
박하람,male,18304,marketing,assistant
표예림,male,24844,finance,manager
길하늘,male,15166,advertising,assistant
반현우,female,11626,design,assistant
모현아,male,13323,advertising,header
기채희,male,27068,advertising,assistant
마아라,male,8832,advertising,assistant
남시후,male,15534,advertising,assistant
피동욱,male,29245,IT,assistant
승이든,male,11015,design,intern
연수연,male,5782,advertising,assistant
당재윤,male,24822,advertising,assistant
왕나경,male,20389,advertising,assistant
경시은,female,22922,advertising,manager
사보경,male,8074,marketing,manager
강승호,female,6024,marketing,assistant
왕승찬,female,28565,finance,manager
신태은,male,8416,marketing,assistant
마민솔,male,21879,marketing,header
노성빈,male,11628,marketing,assistant
성소희,male,9059,finance,manager
승연서,female,24072,marketing,manager
국소민,male,11961,marketing,assistant
가선호,female,15512,marketing,assistant
박한울,male,11819,marketing,header
채윤슬,male,24191,marketing,assistant
승강우,male,29998,IT,header
장승호,male,19284,finance,manager
석유이,male,7385,advertising,manager
나산,male,21048,marketing,intern
형인우,female,18264,marketing,assistant
지단비,female,21436,marketing,assistant
한진혁,male,16451,advertising,header
나정원,male,28822,finance,manager
위하랑,male,21817,advertising,assistant
채재희,male,15998,marketing,assistant
소소은,male,10485,IT,assistant
모루아,male,21151,finance,header
온주호,female,18669,marketing,assistant
권아윤,female,8152,advertising,manager
민도연,female,5906,IT,assistant
홍지후,male,16702,advertising,assistant
천가을,female,17329,marketing,header
기민석,male,22899,finance,assistant
조예진,male,21940,advertising,assistant
고지우,male,26568,marketing,assistant
지민정,male,27170,design,assistant
갈하율,male,19007,marketing,assistant
은은솔,female,22841,IT,assistant
육하늘,female,7921,finance,assistant
추성윤,male,5308,marketing,assistant
변윤성,female,23912,finance,assistant
오재호,male,16421,finance,manager
허태이,female,24044,marketing,header
도세린,female,20311,marketing,header
용민결,male,4571,finance,assistant
진가윤,male,9625,advertising,assistant
소이안,male,24924,marketing,intern
권형준,male,29950,marketing,intern
오효은,female,11173,marketing,header
반태훈,male,16806,marketing,assistant
함재희,male,6063,marketing,assistant
왕준우,male,13016,advertising,intern
경예지,female,18927,finance,assistant
석진호,male,12934,IT,assistant
형승빈,female,28731,marketing,assistant
최혜진,male,27771,marketing,header
석태호,male,11782,marketing,manager
은도연,female,20665,finance,intern
동동윤,female,19241,finance,assistant
나상민,male,11830,advertising,assistant
심준석,male,4309,marketing,manager
팽윤슬,female,29118,marketing,manager
맹라윤,male,16520,marketing,assistant
현강우,female,18255,marketing,manager
염산,male,4729,marketing,assistant
용다혜,female,25726,marketing,assistant
기준서,female,22065,marketing,assistant
경채현,male,24443,advertising,assistant
맹시온,female,19266,finance,assistant
연민서,female,8728,advertising,manager
연태환,male,29107,IT,manager
시채연,female,9173,advertising,intern
용연수,male,15134,marketing,header
안지우,male,28863,advertising,manager
승유찬,male,3519,marketing,assistant
상소은,male,24411,design,header
연용준,male,16122,advertising,assistant
금우현,male,12658,advertising,assistant
위태영,female,22209,IT,manager
두하온,male,27178,advertising,manager
승라윤,male,28964,design,assistant
송채은,female,22181,marketing,assistant
옥태훈,male,20199,marketing,assistant
빈승환,female,14289,design,header
정도준,male,7287,marketing,assistant
범하은,male,8984,marketing,header
안단우,male,19832,marketing,manager
두태이,female,10235,IT,assistant
연채현,female,4747,advertising,manager
왕하민,male,10296,advertising,assistant
서현수,male,9196,finance,intern
길서율,female,23349,finance,manager
명재민,male,9457,marketing,assistant
길현승,male,26173,marketing,manager
형혜린,male,21053,IT,manager
마원준,male,15771,design,header
육지유,male,21275,design,manager
용설,female,13307,finance,assistant
추승찬,female,26388,IT,header
용주현,male,17225,marketing,assistant
전승민,male,21372,marketing,header
좌유현,male,19493,marketing,assistant
추승아,male,17540,marketing,assistant
승예슬,male,20214,IT,manager
원지현,male,13052,IT,header
선예찬,male,27429,marketing,header
승승찬,female,11330,advertising,intern
배혜빈,male,23579,marketing,header
남세준,female,16533,marketing,assistant
엄태율,male,16853,advertising,manager
복하율,male,21721,marketing,header
견정연,male,4181,advertising,manager
함주하,male,8320,advertising,manager
여재하,male,10110,design,header
